titles,summaries,terms
Prime Sample Attention in Object Detection,"It is a common paradigm in object detection frameworks to treat all samples
equally and target at maximizing the performance on average. In this work, we
revisit this paradigm through a careful study on how different samples
contribute to the overall performance measured in terms of mAP. Our study
suggests that the samples in each mini-batch are neither independent nor
equally important, and therefore a better classifier on average does not
necessarily mean higher mAP. Motivated by this study, we propose the notion of
Prime Samples, those that play a key role in driving the detection performance.
We further develop a simple yet effective sampling and learning strategy called
PrIme Sample Attention (PISA) that directs the focus of the training process
towards such samples. Our experiments demonstrate that it is often more
effective to focus on prime samples than hard samples when training a detector.
Particularly, On the MSCOCO dataset, PISA outperforms the random sampling
baseline and hard mining schemes, e.g., OHEM and Focal Loss, consistently by
around 2% on both single-stage and two-stage detectors, even with a strong
backbone ResNeXt-101.",['Computer Vision and Pattern Recognition']
A Strong Baseline for Weekly Time Series Forecasting,"Many businesses and industries require accurate forecasts for weekly time
series nowadays. The forecasting literature however does not currently provide
easy-to-use, automatic, reproducible and accurate approaches dedicated to this
task. We propose a forecasting method that can be used as a strong baseline in
this domain, leveraging state-of-the-art forecasting techniques, forecast
combination, and global modelling. Our approach uses four base forecasting
models specifically suitable for forecasting weekly data: a global Recurrent
Neural Network model, Theta, Trigonometric Box-Cox ARMA Trend Seasonal (TBATS),
and Dynamic Harmonic Regression ARIMA (DHR-ARIMA). Those are then optimally
combined using a lasso regression stacking approach. We evaluate the
performance of our method against a set of state-of-the-art weekly forecasting
models on six datasets. Across four evaluation metrics, we show that our method
consistently outperforms the benchmark methods by a considerable margin with
statistical significance. In particular, our model can produce the most
accurate forecasts, in terms of mean sMAPE, for the M4 weekly dataset.","['Machine Learning', 'Artificial Intelligence', 'Neural and Evolutionary Computing']"
Sequential convolutional network for behavioral pattern extraction in gait recognition,"As a unique and promising biometric, video-based gait recognition has broad
applications. The key step of this methodology is to learn the walking pattern
of individuals, which, however, often suffers challenges to extract the
behavioral feature from a sequence directly. Most existing methods just focus
on either the appearance or the motion pattern. To overcome these limitations,
we propose a sequential convolutional network (SCN) from a novel perspective,
where spatiotemporal features can be learned by a basic convolutional backbone.
In SCN, behavioral information extractors (BIE) are constructed to comprehend
intermediate feature maps in time series through motion templates where the
relationship between frames can be analyzed, thereby distilling the information
of the walking pattern. Furthermore, a multi-frame aggregator in SCN performs
feature integration on a sequence whose length is uncertain, via a mobile 3D
convolutional layer. To demonstrate the effectiveness, experiments have been
conducted on two popular public benchmarks, CASIA-B and OU-MVLP, and our
approach is demonstrated superior performance, comparing with the state-of-art
methods.",['Computer Vision and Pattern Recognition']
Multivariate Time Series Imputation by Graph Neural Networks,"Dealing with missing values and incomplete time series is a labor-intensive
and time-consuming inevitable task when handling data coming from real-world
applications. Effective spatio-temporal representations would allow imputation
methods to reconstruct missing temporal data by exploiting information coming
from sensors at different locations. However, standard methods fall short in
capturing the nonlinear time and space dependencies existing within networks of
interconnected sensors and do not take full advantage of the available - and
often strong - relational information. Notably, most of state-of-the-art
imputation methods based on deep learning do not explicitly model relational
aspects and, in any case, do not exploit processing frameworks able to
adequately represent structured spatio-temporal data. Conversely, graph neural
networks have recently surged in popularity as both expressive and scalable
tools for processing sequential data with relational inductive biases. In this
work, we present the first assessment of graph neural networks in the context
of multivariate time series imputation. In particular, we introduce a novel
graph neural network architecture, named GRIL, which aims at reconstructing
missing data in the different channels of a multivariate time series by
learning spatial-temporal representations through message passing. Preliminary
empirical results show that our model outperforms state-of-the-art methods in
the imputation task on relevant benchmarks with mean absolute error
improvements often higher than 20%.","['Machine Learning', 'Artificial Intelligence']"
Exploiting the potential of unlabeled endoscopic video data with self-supervised learning,"Surgical data science is a new research field that aims to observe all
aspects of the patient treatment process in order to provide the right
assistance at the right time. Due to the breakthrough successes of deep
learning-based solutions for automatic image annotation, the availability of
reference annotations for algorithm training is becoming a major bottleneck in
the field. The purpose of this paper was to investigate the concept of
self-supervised learning to address this issue.
  Our approach is guided by the hypothesis that unlabeled video data can be
used to learn a representation of the target domain that boosts the performance
of state-of-the-art machine learning algorithms when used for pre-training.
Core of the method is an auxiliary task based on raw endoscopic video data of
the target domain that is used to initialize the convolutional neural network
(CNN) for the target task. In this paper, we propose the re-colorization of
medical images with a generative adversarial network (GAN)-based architecture
as auxiliary task. A variant of the method involves a second pre-training step
based on labeled data for the target task from a related domain. We validate
both variants using medical instrument segmentation as target task.
  The proposed approach can be used to radically reduce the manual annotation
effort involved in training CNNs. Compared to the baseline approach of
generating annotated data from scratch, our method decreases exploratively the
number of labeled images by up to 75% without sacrificing performance. Our
method also outperforms alternative methods for CNN pre-training, such as
pre-training on publicly available non-medical or medical data using the target
task (in this instance: segmentation).
  As it makes efficient use of available (non-)public and (un-)labeled data,
the approach has the potential to become a valuable tool for CNN
(pre-)training.",['Computer Vision and Pattern Recognition']
Graph Regularized Nonnegative Tensor Ring Decomposition for Multiway Representation Learning,"Tensor ring (TR) decomposition is a powerful tool for exploiting the low-rank
nature of multiway data and has demonstrated great potential in a variety of
important applications. In this paper, nonnegative tensor ring (NTR)
decomposition and graph regularized NTR (GNTR) decomposition are proposed,
where the former equips TR decomposition with local feature extraction by
imposing nonnegativity on the core tensors and the latter is additionally able
to capture manifold geometry information of tensor data, both significantly
extend the applications of TR decomposition for nonnegative multiway
representation learning. Accelerated proximal gradient based methods are
derived for NTR and GNTR. The experimental result demonstrate that the proposed
algorithms can extract parts-based basis with rich colors and rich lines from
tensor objects that provide more interpretable and meaningful representation,
and hence yield better performance than the state-of-the-art tensor based
methods in clustering and classification tasks.",['Computer Vision and Pattern Recognition']
Designing A Composite Dictionary Adaptively From Joint Examples,"We study the complementary behaviors of external and internal examples in
image restoration, and are motivated to formulate a composite dictionary design
framework. The composite dictionary consists of the global part learned from
external examples, and the sample-specific part learned from internal examples.
The dictionary atoms in both parts are further adaptively weighted to emphasize
their model statistics. Experiments demonstrate that the joint utilization of
external and internal examples leads to substantial improvements, with
successful applications in image denoising and super resolution.",['Computer Vision and Pattern Recognition']
Differentiable Scaffolding Tree for Molecular Optimization,"The structural design of functional molecules, also called molecular
optimization, is an essential chemical science and engineering task with
important applications, such as drug discovery. Deep generative models and
combinatorial optimization methods achieve initial success but still struggle
with directly modeling discrete chemical structures and often heavily rely on
brute-force enumeration. The challenge comes from the discrete and
non-differentiable nature of molecule structures. To address this, we propose
differentiable scaffolding tree (DST) that utilizes a learned knowledge network
to convert discrete chemical structures to locally differentiable ones. DST
enables a gradient-based optimization on a chemical graph structure by
back-propagating the derivatives from the target properties through a graph
neural network (GNN). Our empirical studies show the gradient-based molecular
optimizations are both effective and sample efficient. Furthermore, the learned
graph parameters can also provide an explanation that helps domain experts
understand the model output.",['Machine Learning']
Group-CAM: Group Score-Weighted Visual Explanations for Deep Convolutional Networks,"In this paper, we propose an efficient saliency map generation method, called
Group score-weighted Class Activation Mapping (Group-CAM), which adopts the
""split-transform-merge"" strategy to generate saliency maps. Specifically, for
an input image, the class activations are firstly split into groups. In each
group, the sub-activations are summed and de-noised as an initial mask. After
that, the initial masks are transformed with meaningful perturbations and then
applied to preserve sub-pixels of the input (i.e., masked inputs), which are
then fed into the network to calculate the confidence scores. Finally, the
initial masks are weighted summed to form the final saliency map, where the
weights are confidence scores produced by the masked inputs. Group-CAM is
efficient yet effective, which only requires dozens of queries to the network
while producing target-related saliency maps. As a result, Group-CAM can be
served as an effective data augment trick for fine-tuning the networks. We
comprehensively evaluate the performance of Group-CAM on common-used
benchmarks, including deletion and insertion tests on ImageNet-1k, and pointing
game tests on COCO2017. Extensive experimental results demonstrate that
Group-CAM achieves better visual performance than the current state-of-the-art
explanation approaches. The code is available at
https://github.com/wofmanaf/Group-CAM.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence']"
Multi-modal Egocentric Activity Recognition using Audio-Visual Features,"Egocentric activity recognition in first-person videos has an increasing
importance with a variety of applications such as lifelogging, summarization,
assisted-living and activity tracking. Existing methods for this task are based
on interpretation of various sensor information using pre-determined weights
for each feature. In this work, we propose a new framework for egocentric
activity recognition problem based on combining audio-visual features with
multi-kernel learning (MKL) and multi-kernel boosting (MKBoost). For that
purpose, firstly grid optical-flow, virtual-inertia feature, log-covariance,
cuboid are extracted from the video. The audio signal is characterized using a
""supervector"", obtained based on Gaussian mixture modelling of frame-level
features, followed by a maximum a-posteriori adaptation. Then, the extracted
multi-modal features are adaptively fused by MKL classifiers in which both the
feature and kernel selection/weighing and recognition tasks are performed
together. The proposed framework was evaluated on a number of egocentric
datasets. The results showed that using multi-modal features with MKL
outperforms the existing methods.",['Computer Vision and Pattern Recognition']
